Mean,mu_MLE,mu_MOM,variance,sigma_squared_MLE,sigma_squared_MOM
7.4045999999999985,7.350819347295122,8.848979703693137,12.735911999999995,12.330752120747723,23.673608805819587
7.519,7.487904268926106,8.910185609625382,19.361425000000004,18.48509375803302,34.08527429094966
7.523099999999999,7.556739056001524,8.97957015368167,19.349413199999997,19.574121691624924,36.9198814709897
7.5560399999999985,7.536156311638883,9.21972028569624,9.127696319999998,9.1103332108391,18.28173626669001
7.773569999999999,7.755135087024727,9.23068744364958,21.31512894,21.11971784053052,39.742827198837546
7.79508,7.852883747175722,9.336421011414568,16.55674992,16.908659548628126,30.778181879513607
7.81062,7.875421203892629,9.503538451476334,11.65344504,11.628405316903624,21.699239775691694
7.920749999999999,7.901924532945582,9.479314908251176,14.0197275,13.359010752573454,24.553386019015473
7.9344,7.939639414995844,9.698336179177007,9.6482304,9.595345036601826,18.84663602391299
7.991575000000001,7.992688447384901,9.659112838132787,11.707657375000002,11.459279674634333,21.48292644124677
8.024675,7.954769104000813,9.552675898419412,12.943800775000005,12.682697428922062,23.220271333694672
8.06157,8.152557053669392,9.675008280823896,23.16895218,22.962838370133337,43.84600460520092
8.124360000000001,8.057400241934015,9.630368370806906,15.40378656,14.208191386590064,26.086754563931585
8.165500000000002,8.195269889625024,9.732783265504038,19.050111500000003,19.472769500027628,36.63778337471692
8.195640000000001,8.139167932452905,9.654852313410279,20.60383896,19.379935401148643,36.321595193469655
8.3001,8.245190070141309,9.7934471222747,18.8744274,18.575119590969056,35.73445358872268
8.329015,8.270263121302941,9.797015904497457,21.247317265000003,21.248325757360057,39.566430400302416
8.34732,8.256699576738018,10.126424138913409,9.84149028,9.183420211219756,17.547677105192115
8.349110000000001,8.410609688248002,10.06201376417207,12.932771390000005,13.274061331171513,24.098822802604932
8.401995000000001,8.327360462635175,10.006286016973682,13.182730155,12.323573937462573,22.786406149015637
8.40265,8.5086766425987,10.0912381216134,17.326264300000002,18.043146732895075,33.817230402501444
8.435839999999999,8.412164853168203,9.973179680133605,26.45479424,26.963377166963237,51.28273899127472
8.530240000000001,8.51147631972732,10.386208394390257,9.886548160000002,9.555706286169832,17.438851132249013
8.557175,8.535584434438201,10.220627011598598,13.648694125,13.22759560390518,23.750751380341377
8.5894,8.536931478508741,10.121209489393044,22.0232216,20.880045887288748,39.796329712733744
8.595435,8.548388740526477,10.276806268604027,12.282876615,11.935153348386546,20.81913823663668
8.6436,8.585915562808019,10.20378580207417,16.941456,15.884703952290378,29.22680679092389
