,a_MLE,b_MLE,a_std,b_std,mu_MOM,sigma_MOM,Inference_grade,Score,Mean,standard deviation,mu_ML,sigma_ML,a,b
49,0.7381730218029883,19.717568060626345,0.013041922307489238,0.4608428176306905,20.020224555258828,26.31880516680444,1.0,0.31976166832174774,14.63352,17.209951911612073,14.554976797918636,16.94074218072508,0.723,20.240000000000002
51,4.132844740495346,22.23228342401856,0.1286077415789017,0.8131523429214287,134.85550291438287,73.67473191119434,1.0,0.0,92.74374999999999,46.93254800775257,91.88257561815698,45.196896606644174,3.905,23.75
54,4.478564193847232,313.49201990666234,0.13468344068271434,10.422643424174312,2092.935721652342,1333.1572348391842,1.0,0.0,1414.4240000000002,674.300184665554,1403.9941354108216,663.431200236352,4.4,321.46000000000004
55,4.360706798373302,22.648731874170053,0.14060875677131482,0.8727824211699061,143.31171960737584,71.42201314499802,1.0,0.0,101.22645,50.83612169019191,98.76447905822745,47.29577364714396,3.965,25.53
56,6.90765826761544,30.935091995394696,0.15948909576341352,0.6676466922915809,263.1350683032185,198.7050495786376,1.0,0.0,212.4174,81.57841100438277,213.68904398143238,81.30492133920035,6.78,31.33
57,7.445087596510002,26.75679636919753,0.15595345245072623,0.5251716231910294,236.78961057310613,161.20311483188058,1.0,0.0,200.68560000000002,72.34556273884391,199.2066927706564,73.0077592715031,7.695,26.080000000000002
58,10.955010849296775,93.82092265101647,0.5827925112167858,4.485590469985327,1245.8260583120139,969.9371952296159,1.0,0.0,1015.0054,325.2287083484482,1027.809225532919,310.53181777190747,9.74,104.21
60,7.632955067641647,17.00984477547026,0.2487754501149684,0.708150477981018,180.91203310806063,49.67836606546717,1.0,0.0,131.4623,48.0192538675894,129.8353808787235,46.99446430284259,7.495,17.54
61,4.434693261526272,16.66419528303368,0.12093267632725065,0.4918443717726789,109.37796392949394,74.25744674575941,1.0,0.0,74.04599999999999,35.687409544543854,73.90059453042736,35.09264793068959,4.305,17.2
62,3.227649727777896,27.481334109013915,0.07491655450186006,0.7596834527625532,126.6287561241605,75.28519745773046,1.0,0.0,88.32005000000001,49.488533889174775,88.70012055593217,49.372033060300296,3.185,27.73
63,6.659887198398109,38.849024980606686,0.20321241173944285,1.142506092504236,354.5972555951386,274.6795545467376,1.0,0.0,260.49100000000004,98.70341128856693,258.7301241385908,100.25673571334539,6.965,37.400000000000006
64,5.57543823851662,15.045381934375175,0.23471858764122952,0.7004739425019696,127.97545966153321,74.40602128694815,1.0,0.0,84.01995000000001,36.30802962844445,83.8845977500025,35.52570634850511,5.355,15.69
65,0.3627520285630836,15.627413768630609,0.010101060881111363,0.5414128460036333,8.293184903619597,12.430540075979689,1.0,0.653968253968254,5.733249999999999,9.622473044908983,5.668876045765416,9.412219269133859,0.355,16.15
